120.679 78.7509 124.707
168.562 73.3274 43.4068
191.972 28.8505 27.0161
163.902 57.4599 -99.044
111.517 72.0917 142.111
73.0336 174.293 39.6532
140.924 -99.7974 -74.5284
97.9974 154.724 -68.8992
174.204 -72.0905 60.234
84.66 100.528 139.778
68.4699 160.731 72.9667
132.419 -57.6591 -101.907
105.771 29.5599 -165.34
59.6679 -39.2192 185.64
26.0793 45.7835 192.091
48.6389 167.021 -92.8653
-2.88136 166.105 106.764
119.339 -135.103 60.1871
85.0417 -78.5726 -155.525
35.0128 -107.993 164.177
-13.6012 141.141 131.978
-53.7178 173.487 3.96877
-46.3988 176.809 64.2735
104.551 -126.697 -67.5154
56.5697 -108.053 -137.679
29.9554 26.7125 -192.746
7.56218 5.38006 199.74
0.947745 -29.0094 195.587
-109.33 106.49 119.067
-56.6433 145.897 -111.831
-36.8797 -170.714 20.7529
70.3833 -153.488 25.161
34.1411 -5.84403 -189.702
-17.713 -118.336 -158.339
-63.0194 129.291 -135.49
-93.8004 -49.2242 166.899
-122.32 128.555 -36.7235
-83.6036 -165.234 39.754
31.6749 -140.998 -89.4141
21.2463 -89.8043 -162.378
-74.1162 50.3541 -161.237
-31.7894 -107.89 -163.665
-86.9894 -152.063 65.7551
-157.667 80.2468 8.99978
-65.5471 -101.226 -156.224
-123.49 34.5149 -111.402
-151.289 34.1379 61.3639
-115.409 -90.9788 71.5877
-138.882 43.8951 -81.7856
-166.379 -28.5121 20.6951
-121.66 -9.35237 -132.874
-154.437 -19.1214 -69.7863
-90.9546 -100.189 -103.925
120.679 78.7509 124.707 , 
168.562 73.3274 43.4068 , 
191.972 28.8505 27.0161 , 
168.562 73.3274 43.4068 , 
163.902 57.4599 -99.044 , 
191.972 28.8505 27.0161 , 
120.679 78.7509 124.707 , 
191.972 28.8505 27.0161 , 
111.517 72.0917 142.111 , 
120.679 78.7509 124.707 , 
73.0336 174.293 39.6532 , 
168.562 73.3274 43.4068 , 
163.902 57.4599 -99.044 , 
140.924 -99.7974 -74.5284 , 
191.972 28.8505 27.0161 , 
163.902 57.4599 -99.044 , 
168.562 73.3274 43.4068 , 
97.9974 154.724 -68.8992 , 
111.517 72.0917 142.111 , 
191.972 28.8505 27.0161 , 
174.204 -72.0905 60.234 , 
120.679 78.7509 124.707 , 
111.517 72.0917 142.111 , 
84.66 100.528 139.778 , 
168.562 73.3274 43.4068 , 
73.0336 174.293 39.6532 , 
97.9974 154.724 -68.8992 , 
120.679 78.7509 124.707 , 
68.4699 160.731 72.9667 , 
73.0336 174.293 39.6532 , 
174.204 -72.0905 60.234 , 
191.972 28.8505 27.0161 , 
140.924 -99.7974 -74.5284 , 
140.924 -99.7974 -74.5284 , 
163.902 57.4599 -99.044 , 
132.419 -57.6591 -101.907 , 
163.902 57.4599 -99.044 , 
97.9974 154.724 -68.8992 , 
105.771 29.5599 -165.34 , 
59.6679 -39.2192 185.64 , 
111.517 72.0917 142.111 , 
174.204 -72.0905 60.234 , 
111.517 72.0917 142.111 , 
26.0793 45.7835 192.091 , 
84.66 100.528 139.778 , 
120.679 78.7509 124.707 , 
84.66 100.528 139.778 , 
68.4699 160.731 72.9667 , 
97.9974 154.724 -68.8992 , 
73.0336 174.293 39.6532 , 
48.6389 167.021 -92.8653 , 
-2.88136 166.105 106.764 , 
73.0336 174.293 39.6532 , 
68.4699 160.731 72.9667 , 
119.339 -135.103 60.1871 , 
174.204 -72.0905 60.234 , 
140.924 -99.7974 -74.5284 , 
163.902 57.4599 -99.044 , 
105.771 29.5599 -165.34 , 
132.419 -57.6591 -101.907 , 
132.419 -57.6591 -101.907 , 
85.0417 -78.5726 -155.525 , 
140.924 -99.7974 -74.5284 , 
97.9974 154.724 -68.8992 , 
48.6389 167.021 -92.8653 , 
105.771 29.5599 -165.34 , 
59.6679 -39.2192 185.64 , 
26.0793 45.7835 192.091 , 
111.517 72.0917 142.111 , 
35.0128 -107.993 164.177 , 
59.6679 -39.2192 185.64 , 
174.204 -72.0905 60.234 , 
-13.6012 141.141 131.978 , 
84.66 100.528 139.778 , 
26.0793 45.7835 192.091 , 
68.4699 160.731 72.9667 , 
84.66 100.528 139.778 , 
-2.88136 166.105 106.764 , 
-53.7178 173.487 3.96877 , 
48.6389 167.021 -92.8653 , 
73.0336 174.293 39.6532 , 
73.0336 174.293 39.6532 , 
-2.88136 166.105 106.764 , 
-46.3988 176.809 64.2735 , 
119.339 -135.103 60.1871 , 
35.0128 -107.993 164.177 , 
174.204 -72.0905 60.234 , 
119.339 -135.103 60.1871 , 
140.924 -99.7974 -74.5284 , 
104.551 -126.697 -67.5154 , 
85.0417 -78.5726 -155.525 , 
132.419 -57.6591 -101.907 , 
105.771 29.5599 -165.34 , 
85.0417 -78.5726 -155.525 , 
56.5697 -108.053 -137.679 , 
140.924 -99.7974 -74.5284 , 
29.9554 26.7125 -192.746 , 
105.771 29.5599 -165.34 , 
48.6389 167.021 -92.8653 , 
59.6679 -39.2192 185.64 , 
7.56218 5.38006 199.74 , 
26.0793 45.7835 192.091 , 
35.0128 -107.993 164.177 , 
0.947745 -29.0094 195.587 , 
59.6679 -39.2192 185.64 , 
-2.88136 166.105 106.764 , 
84.66 100.528 139.778 , 
-13.6012 141.141 131.978 , 
